id,name,domain,reason,category,hit_count
1,Teodor,Teodor1.com,"Extirpate of Matter from R Tympanic Membrane, Perc Approach",suspicious,78
2,Odelia,Odelia2.com,"Drainage of Left Breast, Endo, Diagn",malware,492
3,Patty,Patty3.com,"Bypass L Kidney Pelvis to Cutan w Synth Sub, Perc",phishing,55
4,Curry,Curry4.com,"Removal of Int Fix from L Humeral Shaft, Perc Approach",other,842
5,Carol-jean,Carol-jean5.com,"Excision of Ampulla of Vater, Endo, Diagn",other,203
6,Luise,Luise6.com,"Dilation of L Hand Art with 4+ Intralum Dev, Perc Approach",suspicious,830
7,Gaspard,Gaspard7.com,"Revision of Int Fix in R Radius, Open Approach",phishing,515
8,Ellie,Ellie8.com,"Bypass L Com Iliac Art to L Com Ilia w Autol Art, Open",gambling,424
9,Sande,Sande9.com,"Release Right Ethmoid Sinus, Open Approach",spam,761
10,Blithe,Blithe10.com,"Drainage of Left Toe Phalanx with Drain Dev, Open Approach",spam,107
11,Waiter,Waiter11.com,"Excision of Sciatic Nerve, Perc Endo Approach, Diagn",spam,384
12,Joell,Joell12.com,"Introduce of Oth Therap Subst into GU Tract, Perc Approach",porn,238
13,Marcella,Marcella13.com,Beam Radiation of Arm Skin using Neutrons,porn,752
14,Barbette,Barbette14.com,"Revision of Drain Dev in L Metatarsotars Jt, Extern Approach",gambling,14
15,Roxanna,Roxanna15.com,"MRI of Pelvic Art using Oth Contrast, Unenh, Enhance",malware,533
16,Olav,Olav16.com,"Dilate R Brach Art, Bifurc, w Drug-elut Intra, Open",suspicious,159
17,Sallyann,Sallyann17.com,"Repair Right Lower Leg Muscle, Percutaneous Approach",phishing,302
18,Jaine,Jaine18.com,"Insert Radioact Elem in Fem Perineum, Perc Endo",phishing,244
19,Ricki,Ricki19.com,"Repair Ileum, Via Natural or Artificial Opening Endoscopic",malware,354
20,Aland,Aland20.com,"Dilate Gastric Art, Bifurc, w 4 Drug-elut, Perc Endo",gambling,548
21,Morna,Morna21.com,"Tendons, Removal",porn,156
22,Abdel,Abdel22.com,"Supplement Left Zygomatic Bone with Autol Sub, Open Approach",gambling,767
23,Missie,Missie23.com,"Dilation of Lower Artery with 3 Drug-elut, Open Approach",suspicious,845
24,Eolande,Eolande24.com,"Destruction of Pelvis Lymphatic, Open Approach",other,338
25,Leone,Leone25.com,"Release Left Femoral Artery, Perc Endo Approach",malware,732
26,Sheelah,Sheelah26.com,"Revision of Monitoring Device in Stomach, Perc Approach",gambling,813
27,Simona,Simona27.com,"Drainage of Upper Vein, Percutaneous Approach, Diagnostic",porn,800
28,Lynnea,Lynnea28.com,"Ultrasonography of Bi Int Carotid, Intravasc",suspicious,330
29,Berton,Berton29.com,"Drainage of L Fallopian Tube with Drain Dev, Perc Approach",suspicious,470
30,Muhammad,Muhammad30.com,"Reattachment of Right Hip Muscle, Open Approach",gambling,283
31,Leigh,Leigh31.com,Magnetic Resonance Imaging (MRI) of Sacrum and Coccyx,gambling,875
32,Farlay,Farlay32.com,"Drainage of Bilateral Fallopian Tubes, Perc Endo Approach",spam,439
33,Sonny,Sonny33.com,"Replacement of R Popl Art with Synth Sub, Open Approach",gambling,974
34,Junie,Junie34.com,"Drainage of Abdomen Skin, External Approach, Diagnostic",gambling,174
35,Stanfield,Stanfield35.com,Immobilization of Right Upper Arm using Other Device,suspicious,579
36,Gearard,Gearard36.com,Orofacial Myofunctional Assessment using Other Equipment,spam,285
37,Vaclav,Vaclav37.com,"Insert Infusion Dev in Esophageal Vein, Perc Endo",phishing,471
38,Zaria,Zaria38.com,"Drainage of Sacral Nerve, Percutaneous Approach",gambling,46
39,Augustus,Augustus39.com,"Insertion of Infusion Device into L Renal Art, Open Approach",gambling,618
40,Tailor,Tailor40.com,"Transfer Left Thorax Muscle with Skin, Perc Endo Approach",gambling,572
41,Allina,Allina41.com,"Bypass R Com Iliac Vein to Low Vein, Perc Endo Approach",malware,517
42,Tamarra,Tamarra42.com,"Revision of Infusion Device in Vas Deferens, Endo",spam,667
43,Stephan,Stephan43.com,"Drainage of R Sup Parathyroid, Perc Approach, Diagn",gambling,738
44,Cesare,Cesare44.com,"Removal of Int Fix from R Acromioclav Jt, Open Approach",gambling,334
45,Corabella,Corabella45.com,"Hepatobiliary System and Pancreas, Bypass",malware,170
46,Adaline,Adaline46.com,Stereotactic Other Photon Radiosurgery of Liver,other,685
47,Blane,Blane47.com,"Insertion of Infusion Device into Abd Aorta, Open Approach",porn,983
48,Salaidh,Salaidh48.com,"Drain of R Carotid Body with Drain Dev, Perc Endo Approach",malware,463
49,Reggi,Reggi49.com,"Fragmentation in Ascending Colon, Perc Endo Approach",spam,828
50,Baillie,Baillie50.com,"Insert of Infusion Dev into L Pulm Art, Perc Endo Approach",other,722
51,Marc,Marc51.com,"Removal of Stim Gen from Trunk Subcu/Fascia, Perc Approach",gambling,583
52,Franz,Franz52.com,"Destruction of Left Temporomandibular Joint, Perc Approach",gambling,181
53,Shawna,Shawna53.com,Fluoroscopy of Colon,porn,982
54,Juieta,Juieta54.com,"Supplement R Axilla Art with Nonaut Sub, Open Approach",suspicious,374
55,Cybill,Cybill55.com,"Replacement of R Patella with Autol Sub, Perc Endo Approach",suspicious,598
56,Vernon,Vernon56.com,"Replacement of Hair with Autol Sub, Extern Approach",porn,163
57,Corrina,Corrina57.com,"Bypass R Com Iliac Art to R Int Ilia w Nonaut Sub, Perc Endo",other,557
58,Pepe,Pepe58.com,"Inspection of Right Pleural Cavity, Perc Endo Approach",other,192
59,Alvin,Alvin59.com,"Drainage of Left Ulna, Percutaneous Approach",spam,522
60,Fawnia,Fawnia60.com,"Revision of Autol Sub in R Carpal Jt, Extern Approach",porn,618
61,Faith,Faith61.com,"Excision of Upper Back, External Approach, Diagnostic",porn,653
62,Nickie,Nickie62.com,"Insertion of Int Fix into Coccyx, Perc Endo Approach",gambling,376
63,Arlena,Arlena63.com,"Extirpation of Matter from Abd Subcu/Fascia, Perc Approach",spam,884
64,Court,Court64.com,"Replacement of Right Hip Joint with Autol Sub, Open Approach",spam,469
65,Gerrard,Gerrard65.com,"Reposition R Humeral Shaft w Intramed Fix, Perc Endo",gambling,78
66,Tom,Tom66.com,"Repair Right Abdomen Tendon, Open Approach",spam,97
67,Olimpia,Olimpia67.com,Plain Radiography of R Low Extrem Lymph using L Osm Contrast,gambling,953
68,Jacinthe,Jacinthe68.com,"Bypass Gallbladder to Small Intestine, Perc Endo Approach",gambling,822
69,Rozalie,Rozalie69.com,"Insertion of Intralum Dev into R Com Carotid, Perc Approach",gambling,580
70,Stella,Stella70.com,"Revision of Other Device in R Pleural Cav, Perc Approach",phishing,275
71,Winny,Winny71.com,"Inspection of Genitourinary Tract, Perc Endo Approach",other,195
72,Julie,Julie72.com,"Inspection of Prostate and Seminal Vesicles, Open Approach",gambling,535
73,Ailene,Ailene73.com,"Replacement of R Toe Phalanx with Synth Sub, Perc Approach",gambling,558
74,Madeleine,Madeleine74.com,"Dilation of Left Kidney Pelvis, Endo",other,274
75,Emile,Emile75.com,LDR Brachytherapy of Stomach using Cesium 137,other,613
76,Jeramie,Jeramie76.com,"Revision of Infusion Dev in Endocrine Gland, Extern Approach",other,93
77,Lonny,Lonny77.com,"Lower Bones, Change",porn,738
78,Nilson,Nilson78.com,"Fluoroscopy of Oth Low Art using Oth Contrast, Laser Intraop",other,594
79,Laurent,Laurent79.com,"Excision of Right Shoulder Muscle, Perc Endo Approach, Diagn",spam,516
80,Erda,Erda80.com,"Dilation of Sup Mesent Art with 2 Drug-elut, Open Approach",gambling,118
81,Fancy,Fancy81.com,"Drainage of Liver, Percutaneous Endoscopic Approach",malware,58
82,Fraser,Fraser82.com,"Excision of Left Scapula, Open Approach",malware,81
83,Sandie,Sandie83.com,"Drainage of Right Upper Arm Muscle, Perc Approach, Diagn",suspicious,911
84,Mag,Mag84.com,"Fusion 2-7 T Jt w Autol Sub, Post Appr P Col, Perc",porn,476
85,Darwin,Darwin85.com,"Replacement of R Subclav Art with Nonaut Sub, Open Approach",other,26
86,Jeanie,Jeanie86.com,"Bypass 2 Cor Art from Abd Art, Open Approach",gambling,231
87,Anneliese,Anneliese87.com,"Extirpation of Matter from Left Ovary, Open Approach",suspicious,108
